caption,commentsCount,firstComment,hashtags/0,latestComments/0/text,likesCount,musicInfo/artist_name,ownerFullName,ownerUsername
"unleash your resilience in the muscleblaze delt tank – where challenges fuel greatness.  

shop now only on muscleblaze.com and mb app.

#muscleblaze #muscleblazelifestyle #delttank #mbzverse #activewear #strengthtraining",29,,muscleblaze,,12631,,MB Lifestyle,muscleblaze.lifestyle
"sweat it out, not sit it out❗️
muscleblaze delt tank - dries faster, feels fresher & keeps you pushing further✅

shop now only on muscleblaze.com and mb app.

#muscleblaze #muscleblazelifestyle #delttank #mbzverse #activewear #workoutgear",53,❤️,muscleblaze,❤️,25826,,MB Lifestyle,muscleblaze.lifestyle
day 98 • exam approaching,243,तुझ्यात आणि माझ्यात एकच गोष्ट same आहे cup भरून  चाय ❤️,,तुझ्यात आणि माझ्यात एकच गोष्ट same आहे cup भरून  चाय ❤️,152146,saketgokhale,Saket Gokhale,saketgokhale
day 86 • biggest i’ve ever been in 7y,319,iska kitna set?,,iska kitna set?,185244,saketgokhale,Saket Gokhale,saketgokhale
"it reduces cortisol which improves your testosterone level as well !! 

buy 5x more potent ashwagandha af43 from @muscleblaze use shivam30 for maximum discount !!",282,Vai par mai to ksm 66 le raha tha,,Vai par mai to ksm 66 le raha tha,26061,yourfitnesstories,SHIVAM DUBEY || COACH,yourfitnesstories
"unleash the power within with muscle blaze creatine!  #fuelyourperformance #muscleblaze #creatineamped

use code - “vanimb” for additional ❤️

reels explore trending creatine #creatine #girlswholift #power #couple relatable",78,,FuelYourPerformance,,7664,sush_yohan,Shivani Jha,bee_vani_
"studies show that the cure to male loneliness is having 20 inch arms 

1. close grip bench 2 x 8-10
2. ez bar pushdown 2 x 10-12
3. tricep overhead extensions 2 x 10-12
4. face away cable curl 3 x 8-10
5. standing alternating dumbbell curls 2 x 10-12

looking for motivation? a scoop of wrathx pump and you’re set 
@muscleblaze @wrathx.preworkout

#arms #biceps #triceps #armday #armworkout #collab",41,Isase Kitni damage to nahin Hogi na bro,arms,Isase Kitni damage to nahin Hogi na bro,3564,okaymohit,Mohit Sharma,okaymohit
"yeah, adulting is hard. but not so much when you’ve got mb biozyme performance whey as your wingman 

discount code - leeneshmb",54,,,,5428,leenesh_mattoo,LEENESH MATTOO,leenesh_mattoo
"your lats feelin’ f-l-y?
might be because of that mb order you just placed 

#muscleblaze #zidd #ziddi",64,True happiness!,muscleblaze,True happiness!,5466,muscleblaze,MuscleBlaze,muscleblaze
@muscleblaze summer shred sale is live from 13th-15th june,3095,❤️,,❤️,692419,ankit_baiyanpuria,Ankit singh,ankit_baiyanpuria
"turning heads, one workout at a time
the mb compression muscle tee: where performance meets style.

shop now only on muscleblaze.com and mb app.

 #muscleblaze #activewear #compressiontee  #muscleblazelifestyle",38,@ankit_baiyanpuria  hona chahiye,MuscleBlaze,@ankit_baiyanpuria  hona chahiye,7602,,MB Lifestyle,muscleblaze.lifestyle
time to ripped,1576,❤️❤️,,❤️❤️,483672,ankit_baiyanpuria,Ankit singh,ankit_baiyanpuria
"this was fun, feels good to push training with like minded people  

mb biozyme iso zero isn’t just a protein powder. it’s a battle cry for ziddis 

discount code on muscleblaze- singha30

#gym #fitness #workout",277,,gym,,162542,singha__10,Sourav Singha Rajput,singha__10
"it took more than just muscle to conquer his addiction. putting his mind to the real test, this is how he carved a legacy of his own 

the story of addiction, resilience, and pure hardwork is out now!

#muscleblaze #beyondmuscles #shivamdubey",71,"mujhe laga tum bologe. shivam ek fitness coach h, content creator h aur ek bevda bhi",muscleblaze,"mujhe laga tum bologe. shivam ek fitness coach h, content creator h aur ek bevda bhi",23870,muscleblaze,MuscleBlaze,muscleblaze
day 54 • good old ppl days,235,Kitna inc h,,Kitna inc h,124308,saketgokhale,Saket Gokhale,saketgokhale
"give me 1 year 

still settling for bland creatine? amp it up with the insanely refreshing citrus blast flavour in mb creamp

use code : cfjmb in mb website for discount 

#collaboration @muscleblaze 
.
.
.
.
#stayfit #trendingreels #fit #goals #motivation #trending #ﬁtness #gymgirl #fitgirl #weightlosstransformation #weightlossjourney",381,,collaboration,,50983,Isabel LaRosa,Gomathy,crazyfitjodi
day 76 • carbs doing their magic,301,❤️❤️❤️❤️❤️,,❤️❤️❤️❤️❤️,174263,saketgokhale,Saket Gokhale,saketgokhale
"i’ve trusted mb biozyme performance whey for as long as i can remember. and this ain't blind faith, it's the result of science-backed gains 

@muscleblaze 

discount code - leeneshmb",1334,Betrayal,,Betrayal,711775,iamgravero,LEENESH MATTOO,leenesh_mattoo
mini vlog,3833,Ram Ram bhaiya ji ❤️❤️,,Ram Ram bhaiya ji ❤️❤️,862906,ankit_baiyanpuria,Ankit singh,ankit_baiyanpuria
"when life throws lemons at you, squeeze some into your workouts with mb creamp citrus blast flavour 

code- aanchalamb for discount :)

more about rdl-
- it’s a pure hip hinge movement.

- rather than just thinking about hips back, think about hips and knees back. 

-do not increase the bend in your knees the lower you go. don’t make it a squat.

- don’t reset. 

- stop going down once your hips stop moving backwards.

- always pick the weight from a higher platform rather than ground to save energy.
.
.
.
#mb #rdl #creatine",94,Creatine --> iPhone/GoPro,mb,Creatine --> iPhone/GoPro,10780,aanchalanejaa,Aanchal Aneja,aanchalanejaa
