username,fullName,followsCount,private,postsCount,followersCount,biography,verified
bee_vani_,Shivani Jha,229,False,1307,278347,"ATHLETE @muscleblaze 
DISCOUNT CODE : VANIMB
✨
Aspire to inspire before you expire",True
rishiraj.shekhawat_,Rishiraj Shekhawat,155,False,618,584577,"Fitness | Lifestyle 
NATTY 
Athlete @muscleblaze | RISHIMB
Athlete @thedrchoice  | DCRISHI07
Appreciate Life",False
aanchalanejaa,Aanchal Aneja,889,False,589,56948,"Aanchal | Fitness Coach
Co-Founder @travel_angels_12_
Health•Wellness•Nutrition
@muscleblaze| CODE- AANCHALAMB
Solo Traveller
• Get trained by me",True
ankit_baiyanpuria, Ankit singh ,515,False,1876,8180147,"️ सनातन धर्म 
Sb moh maya h Bhagat 
Athlete @muscleblaze 
Use discount code > ANKITMB
Wrestling ❤️
YouTube ",True
leenesh_mattoo,LEENESH MATTOO,407,False,1352,681961,"ATHLETE @muscleblaze
DISCOUNT CODE- LEENESHMB
Personalized Training @fixtheleeak
DM or Mail at  leeneshnew007@gmail.com
Youtube",True
crazyfitjodi,Gomathy,102,False,210,216714,"Basketball Player  & Gym Rat  
Athlete @muscleblaze | Code - CFJMB
Food @thedrchoice | Code - DCGOMATHY07
DM for paid collab & Training‼️",False
yourfitnesstories,SHIVAM DUBEY || COACH,414,False,2109,877733," @fuelone.in @muscleblaze (Shivam30)
 for Paid Personal coaching",True
saketgokhale,Saket Gokhale,626,False,702,1903922,"23 | Transform Yourself
 @muscleblaze | 10% CODE ‘SAKET30’
 saket@monk-e.in
 YouTube: Saket Gokhale",True
ishaanthakurr,Ishaan Thakur,307,False,1053,731324,"- 24 Years Young⚔️
- Natural Athlete  
- Youtube- Ishaan Thakur
- @muscleblaze Athlete Use Code“ISHAANMB”",True
okaymohit,Mohit Sharma,791,False,122,117182,"@muscleblaze | code ‘BIGMAN’
 Online Coaching",False
b.udawat_, ,106,False,113,227400,"~ 20 / 6 6 6
~ 5’8 
~  ||Jodhpur 
~Athlete @muscleblaze | UDAWATMB
~Managed by :@xosri.edit",True
mihirlifts,Mihir Pawaskar,656,False,269,685522," Mumbai | 6ft | 23 
 Proudest Natty Since 8 Years
 PowerBuilding | DemonBack
⛽️ @muscleblaze MIHIRPMB
 @invicorosathletics MIHIR",True
